Order,MS SubClass,Lot Frontage,Lot Area,Street,Utilities,Lot Config,Neighborhood,Condition 1,Bldg Type,House Style,Year Remod/Add,Exterior 1st,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Garage Type,Garage Cars,Garage Area,Mo Sold,Yr Sold,SalePrice
1,20,141,31770,Pave,AllPub,Corner,NAmes,Norm,1Fam,1Story,1960,BrkFace,1656,0,1656,1,1,0,Attchd,2,528,5,2010,215000
2,20,80,11622,Pave,AllPub,Inside,NAmes,Feedr,1Fam,1Story,1961,VinylSd,896,0,896,0,1,0,Attchd,1,730,6,2010,105000
3,20,81,14267,Pave,AllPub,Corner,NAmes,Norm,1Fam,1Story,1958,Wd Sdng,1329,0,1329,0,1,1,Attchd,1,312,6,2010,172000
4,20,93,11160,Pave,AllPub,Corner,NAmes,Norm,1Fam,1Story,1968,BrkFace,2110,0,2110,1,2,1,Attchd,2,522,4,2010,244000
5,60,74,13830,Pave,AllPub,Inside,Gilbert,Norm,1Fam,2Story,1998,VinylSd,928,701,1629,0,2,1,Attchd,2,482,3,2010,189900
6,60,78,9978,Pave,AllPub,Inside,Gilbert,Norm,1Fam,2Story,1998,VinylSd,926,678,1604,0,2,1,Attchd,2,470,6,2010,195500
7,120,41,4920,Pave,AllPub,Inside,StoneBr,Norm,TwnhsE,1Story,2001,CemntBd,1338,0,1338,1,2,0,Attchd,2,582,4,2010,213500
8,120,43,5005,Pave,AllPub,Inside,StoneBr,Norm,TwnhsE,1Story,1992,HdBoard,1280,0,1280,0,2,0,Attchd,2,506,1,2010,191500
9,120,39,5389,Pave,AllPub,Inside,StoneBr,Norm,TwnhsE,1Story,1996,CemntBd,1616,0,1616,1,2,0,Attchd,2,608,3,2010,236500
10,60,60,7500,Pave,AllPub,Inside,Gilbert,Norm,1Fam,2Story,1999,VinylSd,1028,776,1804,0,2,1,Attchd,2,442,6,2010,189000
11,60,75,10000,Pave,AllPub,Corner,Gilbert,Norm,1Fam,2Story,1994,HdBoard,763,892,1655,0,2,1,Attchd,2,440,4,2010,175900
12,20,,7980,Pave,AllPub,Inside,Gilbert,Norm,1Fam,1Story,2007,HdBoard,1187,0,1187,1,2,0,Attchd,2,420,3,2010,185000
13,60,63,8402,Pave,AllPub,Inside,Gilbert,Norm,1Fam,2Story,1998,VinylSd,789,676,1465,0,2,1,Attchd,2,393,5,2010,180400
14,20,85,10176,Pave,AllPub,Inside,Gilbert,Norm,1Fam,1Story,1990,HdBoard,1341,0,1341,1,1,1,Attchd,2,506,2,2010,171500
15,120,,6820,Pave,AllPub,Corner,StoneBr,Norm,TwnhsE,1Story,1985,HdBoard,1502,0,1502,1,1,1,Attchd,2,528,6,2010,212000
16,60,47,53504,Pave,AllPub,CulDSac,StoneBr,Norm,1Fam,2Story,2003,CemntBd,1690,1589,3279,1,3,1,BuiltIn,3,841,6,2010,538000
17,50,152,12134,Pave,AllPub,Inside,Gilbert,Norm,1Fam,1.5Fin,2005,Wd Sdng,1080,672,1752,0,2,0,Basment,2,492,6,2010,164000
18,20,88,11394,Pave,AllPub,Corner,StoneBr,Norm,1Fam,1Story,2010,VinylSd,1856,0,1856,1,1,1,Attchd,3,834,6,2010,394432
19,20,140,19138,Pave,AllPub,Corner,Gilbert,Norm,1Fam,1Story,1951,VinylSd,864,0,864,0,1,0,Detchd,2,400,6,2010,141000
20,20,85,13175,Pave,AllPub,Inside,NWAmes,Norm,1Fam,1Story,1988,Plywood,2073,0,2073,1,2,0,Attchd,2,500,2,2010,210000
21,20,105,11751,Pave,AllPub,Inside,NWAmes,Norm,1Fam,1Story,1977,Plywood,1844,0,1844,0,2,0,Attchd,2,546,1,2010,190000
